Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Chart,Ref(s)
Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Chart,Ref(s)
"January 26, 2009",07:59:45,131,Annular,−0.282,0.9282,7:54,34°06′S 70°12′E﻿ / ﻿34.1°S 70.2°E﻿ / -34.1; 70.2,280,170,"Annular: Cocos Islands, Southern Sumatra, Western Java, BorneoPartial: Southern Africa, East Antarctica, Southeast Asia, Philippines, Australia",,[a][4]
"July 22, 2009",02:36:25,136,Total,0.0698,1.0799,6:39,24°12′N 144°06′E﻿ / ﻿24.2°N 144.1°E﻿ / 24.2; 144.1,258,160,"Total: Pakistan, India, Nepal, Bhutan, Bangladesh, Myanmar, China, Northern Ryukyu IslandsPartial: Southeast Asia, East Asia, Northern Oceania, Hawaii",,[a][4]
"January 15, 2010",07:07:39,141,Annular,0.4002,0.919,11:08,1°36′N 69°18′E﻿ / ﻿1.6°N 69.3°E﻿ / 1.6; 69.3,333,207,"Annular: Central African Republic, Democratic Republic of the Congo, Uganda, Maldives, southeastern India, Pakistan,  Sri Lanka, Myanmar, central ChinaPartial: Africa, Southeastern Europe, Middle East, Asia",,[a][4]
"July 11, 2010",19:34:38,146,Total,−0.6788,1.058,5:20,19°42′S 121°54′W﻿ / ﻿19.7°S 121.9°W﻿ / -19.7; -121.9,259,161,"Total: Southern Chile and Argentina, Southeastern PolynesiaPartial: Southwestern South America, French Polynesia, Hawaii",,[a][4]
"January 4, 2011",08:51:42,151,Partial,1.0627,0.8576,—,64°42′N 20°48′E﻿ / ﻿64.7°N 20.8°E﻿ / 64.7; 20.8,—,—,"Partial: Europe, Northern Africa, Central Asia, Middle East",,[a][4]
"June 1, 2011",21:17:18,118,Partial,1.213,0.601,—,67°48′N 46°48′E﻿ / ﻿67.8°N 46.8°E﻿ / 67.8; 46.8,—,—,"Partial: Northeast Asia, Alaska, Northern Canada, Greenland, Northern Scandinavia, Iceland",,[a][4]
"July 1, 2011",08:39:30,156,Partial,−1.4917,0.0971,—,65°12′S 28°36′E﻿ / ﻿65.2°S 28.6°E﻿ / -65.2; 28.6,—,—,Partial: Southern Indian Ocean near Antarctica,,[a][4]
"November 25, 2011",06:21:24,123,Partial,−1.0536,0.9047,—,68°36′S 82°24′W﻿ / ﻿68.6°S 82.4°W﻿ / -68.6; -82.4,—,—,"Partial: Southwestern South Africa, Antarctica, Tasmania, New Zealand",,[a][4]
"May 20, 2012",23:53:54,128,Annular,0.4828,0.9439,5:46,49°06′N 176°18′E﻿ / ﻿49.1°N 176.3°E﻿ / 49.1; 176.3,237,147,"Annular: Southern China, Hong Kong, Macau, Japan, Oregon, California, Nevada,  Utah, Arizona, New Mexico, TexasPartial: East Asia, Hawaii, Western North America",,[a][4]
"November 13, 2012",22:12:55,133,Total,−0.3719,1.05,4:02,40°00′S 161°18′W﻿ / ﻿40.0°S 161.3°W﻿ / -40.0; -161.3,179,111,"Total: Northern AustraliaPartial: Australia, New Zealand, Oceania, West Antarctica, Antarctic Peninsula, Southern South America",,[a][4]
"May 10, 2013",00:26:20,138,Annular,−0.2694,0.9544,6:03,2°12′N 175°30′E﻿ / ﻿2.2°N 175.5°E﻿ / 2.2; 175.5,173,107,"Annular: Western Australia, Northern Territory and Queensland, Australia,  Louisiade Archipelago, Solomon Islands, KiribatiPartial: Indonesia, Australia, New Zealand, Oceania, Hawaii",,[a][4]
