Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width...9,Path width...10,Geographical area
2065-07-03,17:33:52,118,Partial,1.4619,0.1638,—,64°48′N 71°54′E﻿ / ﻿64.8°N 71.9°E﻿ / 64.8; 71.9,—,—,"Partial: Northern Europe, Northern Russia"
2065-08-02,05:34:17,156,Partial,−1.2759,0.4903,—,62°42′S 46°30′E﻿ / ﻿62.7°S 46.5°E﻿ / -62.7; 46.5,—,—,"Partial: Eastern South Africa, Southern Madagascar, Antarctica"
2065-12-27,08:39:56,123,Partial,−1.0688,0.8769,—,65°24′S 149°12′W﻿ / ﻿65.4°S 149.2°W﻿ / -65.4; -149.2,—,—,"Partial: Antarctica, Southern Australia"
2066-06-22,19:25:48,128,Annular,0.733,0.9435,4:40,70°06′N 96°24′W﻿ / ﻿70.1°N 96.4°W﻿ / 70.1; -96.4,309,192,"Annular: Russian Far East, Alaska, Northern Canada, AzoresPartial: Northern Russia, Canada, Greenland, United States, Caribbean, Northern Europe, Western Europe"
2066-12-17,00:23:40,133,Total,−0.4043,1.0416,3:14,47°24′S 175°48′E﻿ / ﻿47.4°S 175.8°E﻿ / -47.4; 175.8,152,94,"Total: Southwestern Australia, Stewart IslandPartial: Indonesia, Australia, Antarctica, Oceania"
2067-06-11,20:42:26,138,Annular,−0.0387,0.967,4:05,21°00′N 130°12′W﻿ / ﻿21.0°N 130.2°W﻿ / 21.0; -130.2,119,74,"Annular: Kiribati, Ecuador, Peru, Southern Colombia, Western BrazilPartial: Oceania, Hawaii, Southern North America, Central America, Caribbean, Western South America"
2067-12-06,14:03:43,143,Hybrid,0.2845,1.0011,0:08,6°00′S 32°24′W﻿ / ﻿6.0°S 32.4°W﻿ / -6.0; -32.4,4,2.5,"Total: BrazilAnnular: Southeastern Mexico, Guatemala, Belize, Honduras, Nicaragua, Colombia, Venezuela, Brazil, Guyana, Nigeria, Cameroon, Chad, Sudan
Partial: Eastern North America, Central America, Caribbean, Northern and Central South America, Southern Europe, Africa"
2068-05-31,03:56:39,148,Total,−0.797,1.011,1:06,31°00′S 123°12′E﻿ / ﻿31.0°S 123.2°E﻿ / -31.0; 123.2,63,39,"Total: Australia, New ZealandPartial: Australia, Indonesia, Antarctica, Western Oceania"
2068-11-24,21:32:30,153,Partial,1.0299,0.9109,—,68°30′N 131°06′W﻿ / ﻿68.5°N 131.1°W﻿ / 68.5; -131.1,—,—,"Partial: Russian Far East, North America"
2069-04-21,10:11:09,120,Partial,1.0624,0.8992,—,71°00′N 101°18′W﻿ / ﻿71.0°N 101.3°W﻿ / 71.0; -101.3,—,—,"Partial: Eastern Canada, Greenland, Europe, North Asia"
2069-05-20,17:53:18,158,Partial,−1.4852,0.0879,—,68°48′S 69°54′W﻿ / ﻿68.8°S 69.9°W﻿ / -68.8; -69.9,—,—,"Partial: Antarctic Peninsula, Extreme Southern Chile and Argentina"
