Date,Time_of_greatest_eclipse_terrestrial_time,Saros,Type,Gamma,Magnitude,Central_duration_min_s,Latitude,Longitude,Path_width_km,Path_width_miles
2029-01-14,17:13:48,151,Partial,1.0553,0.8714,—,63.7,-114.2,—,—
2029-06-12,04:06:13,118,Partial,1.2943,0.4576,—,66.8,-66.2,—,—
2029-07-11,15:37:19,156,Partial,−1.4191,0.2303,—,-64.3,-85.6,—,—
2029-12-05,15:03:58,123,Partial,−1.0609,0.8911,—,-67.5,135.7,—,—
2030-06-01,06:29:13,128,Annular,0.5626,0.9443,5:21,56.5,80.1,250,160
2030-11-25,06:51:37,133,Total,−0.3867,1.0468,3:44,-43.6,71.2,169,105
2031-05-21,07:16:04,138,Annular,−0.197,0.9589,5:26,8.9,71.7,152,94
2031-11-14,21:07:31,143,Hybrid,0.3078,1.0106,1:08,-0.6,-137.6,38,24
2032-05-09,13:26:42,148,Annular,−0.9375,0.9957,0:22,-51.3,-7.1,44,27
2032-11-03,05:34:13,153,Partial,1.0643,0.8554,—,70.4,132.6,—,—
2033-03-30,18:02:36,120,Total,0.9778,1.0462,2:37,71.3,-155.8,781,485
2033-09-23,13:54:31,125,Partial,−1.1583,0.689,—,-72.2,-121.2,—,—
2034-03-20,10:18:45,130,Total,0.2894,1.0458,4:09,16.1,22.2,159,99
2034-09-12,16:19:28,135,Annular,−0.3936,0.9736,2:58,-18.2,-72.6,102,63
2035-03-09,23:05:54,140,Annular,−0.4368,0.9919,0:48,-29.0,-154.9,31,19
2035-09-02,01:56:46,145,Total,0.3727,1.032,2:54,29.1,158.0,116,72
2036-02-27,04:46:49,150,Partial,−1.1942,0.6286,—,-71.6,-131.4,—,—
2036-07-23,10:32:06,117,Partial,−1.425,0.1991,—,-68.9,3.6,—,—
2036-08-21,17:25:45,155,Partial,1.0825,0.8622,—,71.1,47.0,—,—
2037-01-16,09:48:55,122,Partial,1.1477,0.7049,—,68.5,20.8,—,—
2037-07-13,02:40:36,127,Total,−0.7246,1.0413,3:58,-24.8,139.1,201,125
2038-01-05,13:47:11,132,Annular,0.4169,0.9728,3:18,2.1,-25.4,107,66
2038-07-02,13:32:55,137,Annular,0.0398,0.9911,1:00,25.4,-21.9,31,19
2038-12-26,01:00:10,142,Total,−0.2881,1.0268,2:18,-40.3,164.0,95,59
2039-06-21,17:12:54,147,Annular,0.8312,0.9454,4:05,78.9,-102.1,365,227
2039-12-15,16:23:46,152,Total,−0.9458,1.0356,1:51,-80.9,172.8,380,240
2040-05-11,03:43:02,119,Partial,−1.2529,0.5306,—,-62.8,174.4,—,—
2040-11-04,19:09:02,124,Partial,1.0993,0.8074,—,62.2,-53.4,—,—
2041-04-30,11:52:21,129,Total,−0.4492,1.0189,1:51,-9.6,12.2,72,45
2041-10-25,01:36:22,134,Annular,0.4133,0.9467,6:07,9.9,162.9,213,132
2042-04-20,02:17:30,139,Total,0.2956,1.0614,4:51,27.0,137.3,210,130
2042-10-14,02:00:42,144,Annular,−0.303,0.93,7:44,-23.7,137.8,273,170
2043-04-09,18:57:49,149,Total,1.0031,1.0095,—,61.3,152.0,—,—
2043-10-03,03:01:49,154,Annular,1.0102,0.9497,—,-61.0,35.3,—,—
2044-02-28,20:24:40,121,Annular,−0.9954,0.96,2:27,-62.2,-25.6,—,—
2044-08-23,01:17:02,126,Total,0.9613,1.0364,2:04,64.3,-120.4,453,281
2045-02-16,23:56:07,131,Annular,−0.3125,0.9285,7:47,-28.3,-166.2,281,175
2045-08-12,17:42:39,136,Total,0.2116,1.0774,6:06,25.9,-78.5,256,159
2046-02-05,23:06:26,141,Annular,0.3765,0.9232,9:42,4.8,-171.4,310,190
2046-08-02,10:21:13,146,Total,−0.535,1.0531,4:51,-12.7,15.2,206,128
2047-01-26,01:33:18,151,Partial,1.045,0.8907,—,62.9,111.7,—,—
2047-06-23,10:52:31,118,Partial,1.3766,0.3129,—,65.8,-178.0,—,—
2047-07-22,22:36:17,156,Partial,−1.3477,0.3604,—,-63.4,160.2,—,—
2047-12-16,23:50:12,123,Partial,−1.0661,0.8816,—,-66.4,-6.6,—,—
2048-06-11,12:58:53,128,Annular,0.6468,0.9441,4:58,63.7,-11.5,272,169
2048-12-05,15:35:27,133,Total,−0.3973,1.044,3:28,-46.1,-56.4,160,99
2049-05-31,13:59:59,138,Annular,−0.1187,0.9631,4:45,15.3,-29.9,134,83
2049-11-25,05:33:48,143,Hybrid,0.2943,1.0057,0:38,-3.8,95.2,21,13
2050-05-20,20:42:50,148,Hybrid,−0.8688,1.0038,0:21,-40.1,-123.7,27,17
2050-11-14,13:30:53,153,Partial,1.0447,0.8874,—,69.5,1.0,—,—
2051-04-11,02:10:39,120,Partial,1.0169,0.9849,—,71.6,32.2,—,—
